Finishing Time,ITRA Score
34:38:59,586
34:39:38,612
34:41:36,675
34:44:07,664
34:45:30,655
34:45:50,622
34:47:32,511
34:49:48,618
34:49:57,679
34:51:06,581
34:52:10,562
34:52:50,675
34:53:12,559
34:53:40,629
34:54:43,615
34:54:46,547
34:55:04,605
34:56:30,621
34:57:09,562
34:58:57,565
34:59:26,575
34:59:33,615
35:03:48,628
35:04:24,533
35:10:40,612
35:11:13,507
35:12:00,633
35:12:08,594
35:15:27,627
35:16:32,633
35:16:46,551
35:17:06,580
35:17:52,640
35:18:11,672
35:18:44,582
35:19:41,618
35:20:04,591
35:21:35,504
35:26:05,510
35:26:06,613
35:28:28,610
35:33:29,577
35:33:29,564
35:34:49,623
35:36:52,595
35:37:07,607
35:37:25,595
35:37:46,557
35:38:10,681
35:38:29,662
35:39:00,680
35:39:05,717
35:39:11,663
35:40:30,603
35:42:38,662
35:43:13,619
35:43:37,583
35:48:19,675
35:49:04,568
35:52:23,603
35:53:30,624
35:53:56,674
35:54:34,606
35:54:44,623
35:55:27,541
35:58:27,575
35:59:06,586
35:59:23,563
36:00:04,614
36:02:05,579
36:02:26,572
36:07:03,629
36:08:15,643
36:11:23,513
36:13:08,491
36:13:41,510
36:14:01,644
36:14:56,563
36:15:22,624
36:16:32,552
36:16:52,626
36:17:46,707
36:20:46,675
36:21:13,562
36:21:35,612
36:23:00,581
36:23:08,512
36:23:22,599
36:27:01,619
36:27:01,546
36:28:13,651
36:28:56,488
36:29:17,572
36:29:44,591
36:30:13,669
36:30:26,560
36:31:26,558
36:32:43,585
36:32:51,592
36:32:56,593
36:33:42,590
36:33:43,591
36:33:44,555
36:34:15,593
36:35:38,606
36:36:20,549
36:36:36,540
36:37:20,514
36:38:03,536
36:38:06,546
36:39:45,525
36:40:07,603
36:40:10,638
36:40:39,630
36:40:56,634
36:41:02,547
36:41:53,715
36:44:50,492
36:46:13,540
36:46:34,614
36:46:41,538
36:46:56,566
36:51:01,592
36:51:14,561
36:51:15,547
36:51:40,687
36:54:56,584
36:57:09,493
36:57:35,575
36:59:46,593
37:00:10,481
37:01:03,571
37:01:09,568
37:01:17,541
37:01:34,653
37:01:37,584
37:01:57,507
37:02:00,613
37:02:03,580
37:03:16,578
37:04:29,549
37:06:26,562
37:08:25,582
37:12:11,499
37:12:47,528
37:13:00,620
37:15:26,634
37:16:19,537
37:17:18,572
37:18:01,608
37:18:23,610
37:19:50,675
37:23:19,549
37:23:51,572
37:24:01,610
37:24:28,533
37:26:59,530
37:27:49,584
37:30:20,557
37:30:30,607
37:32:33,623
37:32:54,635
37:33:02,583
37:34:41,532
37:34:53,501
37:34:55,590
37:35:02,526
37:35:14,533
37:39:21,528
37:39:24,524
37:39:57,619
37:40:32,601
37:41:26,635
37:41:59,548
37:43:55,618
37:45:38,639
37:46:28,586
37:49:28,535
37:50:52,623
37:52:02,595
37:52:15,555
37:52:15,563
37:53:27,565
37:53:39,641
37:54:06,582
37:54:37,611
37:54:45,593
37:55:47,516
37:56:13,614
37:56:22,531
37:57:21,643
37:57:41,555
37:58:00,529
37:58:03,509
37:58:12,548
38:01:04,592
38:03:29,530
38:04:07,527
38:04:50,674
38:05:01,568
38:05:51,525
38:08:49,563
38:10:12,530
38:10:16,553
38:10:36,609
38:11:16,768
38:11:28,609
38:12:22,552
38:13:10,566
38:13:20,544
38:13:52,551
38:14:08,683
38:16:21,555
38:16:22,584
38:16:33,578
38:16:40,788
38:18:29,628
38:21:43,611
38:22:05,464
38:23:29,569
38:23:36,633
38:24:36,489
38:25:00,537
38:25:07,555
38:25:21,589
38:26:58,605
38:27:10,577
38:27:58,562
38:28:02,491
38:28:19,558
38:29:37,613
38:30:07,597
38:30:09,556
38:30:13,516
38:30:14,517
38:30:46,557
38:31:23,508
38:31:39,480
38:32:24,537
38:32:58,522
38:33:35,618
38:34:10,539
38:34:34,500
38:35:17,556
38:35:38,557
38:35:51,573
38:37:02,603
38:37:10,476
38:38:24,602
38:41:28,572
38:41:44,673
38:41:48,523
38:41:50,517
38:42:31,585
38:42:53,599
38:43:27,577
38:43:33,626
38:44:16,702
38:44:37,547
38:44:45,661
38:44:56,483
38:45:28,616
38:45:40,555
38:45:53,514
38:46:02,511
38:46:03,528
38:46:04,629
38:46:05,496
38:46:25,508
38:46:33,522
38:46:41,564
38:47:56,512
38:48:37,576
38:48:55,565
38:52:12,610
38:52:18,598
38:52:23,566
38:52:25,590
38:52:42,584
38:53:00,502
38:53:24,530
38:54:46,650
38:54:59,531
38:55:24,543
38:56:10,561
38:56:20,579
38:56:32,580
38:56:36,571
38:57:45,550
38:58:50,604
39:00:22,587
39:00:56,510
39:01:12,649
39:01:26,587
39:01:44,579
39:02:43,511
39:03:20,550
39:04:33,646
39:04:44,553
39:05:11,476
39:06:36,565
39:06:46,632
39:08:24,556
39:09:27,578
39:09:59,594
39:10:36,631
39:10:45,549
39:12:03,531
39:12:16,587
39:12:26,563
39:12:57,540
39:12:58,543
39:13:27,593
39:14:17,559
39:14:32,589
39:14:52,589
39:16:07,476
39:17:08,521
39:18:16,571
39:18:40,509
39:18:52,520
39:18:58,565
39:19:23,533
